t,vs_fpm,vcas_kts,alt_ft,nz,alpha_deg,pstick,throttle
5.15,3227.22,210.188,5886.35,1.2048,7.05655,0,0.458093
5.16667,3227.2,210.18,5887.24,1.20479,7.05697,0,0.458093
5.18333,3227.19,210.173,5888.14,1.20478,7.05739,0,0.458093
5.2,3227.17,210.165,5889.04,1.20476,7.05781,0,0.458093
5.21667,3227.15,210.158,5889.93,1.20475,7.05822,0,0.458093
5.23333,3227.13,210.15,5890.83,1.20474,7.05864,0,0.458093
5.25,3227.11,210.143,5891.73,1.20472,7.05906,0,0.458093
5.26667,3227.09,210.136,5892.62,1.20471,7.05948,0,0.458093
5.28333,3227.07,210.128,5893.52,1.2047,7.05989,0,0.458093
5.3,3227.05,210.121,5894.42,1.20468,7.06031,0,0.458093
5.31667,3227.03,210.113,5895.31,1.20467,7.06073,0,0.458093
5.33333,3227.01,210.106,5896.21,1.20466,7.06115,0,0.458093
5.35,3226.99,210.098,5897.11,1.20465,7.06157,0,0.458093
5.36667,3226.97,210.091,5898,1.20463,7.06199,0,0.458093
5.38333,3226.95,210.083,5898.9,1.20462,7.0624,0,0.458093
5.4,3226.93,210.076,5899.79,1.20461,7.06282,0,0.458093
5.41667,3226.91,210.068,5900.69,1.20459,7.06324,0,0.458093
5.43333,3226.89,210.061,5901.59,1.20458,7.06366,0,0.458093
5.45,3226.88,210.053,5902.48,1.20457,7.06408,0,0.458093
5.46667,3226.86,210.046,5903.38,1.20455,7.0645,0,0.458093
5.48333,3226.84,210.038,5904.28,1.20454,7.06492,0,0.458093
5.5,3226.82,210.031,5905.17,1.20453,7.06534,0,0.458093
5.51667,3226.8,210.023,5906.07,1.20451,7.06576,0,0.458093
5.53333,3226.78,210.016,5906.97,1.2045,7.06618,0,0.458093
5.55,3226.76,210.008,5907.86,1.20449,7.0666,0,0.458093
5.56667,3226.74,210.001,5908.76,1.20447,7.06702,0,0.458093
5.58333,3226.72,209.993,5909.65,1.20446,7.06744,0,0.458093
5.6,3226.7,209.986,5910.55,1.20445,7.06786,0,0.458093
5.61667,3226.68,209.978,5911.45,1.20443,7.06828,0,0.458093
5.63333,3226.66,209.971,5912.34,1.20442,7.0687,0,0.458093
5.65,3226.64,209.963,5913.24,1.20441,7.06912,0,0.458093
5.66667,3226.62,209.956,5914.14,1.20439,7.06954,0,0.458093
5.68333,3226.6,209.948,5915.03,1.20438,7.06996,0,0.458093
5.7,3226.58,209.941,5915.93,1.20437,7.07038,0,0.458093
5.71667,3226.56,209.933,5916.82,1.20435,7.0708,0,0.458093
5.73333,3226.54,209.926,5917.72,1.20434,7.07122,0,0.458093
5.75,3226.52,209.918,5918.62,1.20433,7.07164,0,0.458093
5.76667,3226.5,209.911,5919.51,1.20431,7.07206,0,0.458093
5.78333,3226.48,209.903,5920.41,1.2043,7.07248,0,0.458093
5.8,3226.46,209.896,5921.31,1.20429,7.07291,0,0.458093
5.81667,3226.44,209.888,5922.2,1.20427,7.07333,0,0.458093
5.83333,3226.43,209.881,5923.1,1.20426,7.07375,0,0.458093
5.85,3226.41,209.873,5923.99,1.20425,7.07417,0,0.458093
5.86667,3226.39,209.866,5924.89,1.20423,7.07459,0,0.458093
5.88333,3226.37,209.858,5925.79,1.20422,7.07501,0,0.458093
